EmployeeID,Name,PayRate,HoursRegular,HoursOT,State,MaritalStatus,Dependents,PayFrequency,Bonus,PreTax401k,PostTaxGarnish,HireDate,TerminationDate,PayDate,FICAExempt,Notes
E1001,Sarah Chen,28.50,38,0,CA,Single,0,Weekly,0,0,0,2022-03-14,,2025-08-15,false,Base case hourly no OT
E1002,Marcus Lee,22.00,40,0,CA,Married,2,Biweekly,150,50,0,2023-06-01,,2025-08-16,false,Exactly 40 hours
E1003,Ana Reyes,19.75,40,12,TX,Single,1,Weekly,0,0,15,2021-11-20,,2025-08-16,false,Overtime 12 hours at 1.5x
E1004,Dev Patel,33.00,39.5,0,NY,Married,0,Monthly,500,100,0,2020-01-10,,2025-08-01,false,Half-hour rounding edge case
E1005,Jamie Wu,0,30,0,CA,Single,0,Weekly,0,0,0,2024-07-10,,2025-08-16,false,PayRate is 0 (edge case)
E1006,,21.00,25,0,CA,Single,0,Weekly,0,0,0,2024-01-05,,2025-08-16,false,Missing EmployeeID and Name (edge case)
E1007,Noah Kim,18.25,-5,0,CA,Single,0,Weekly,0,0,0,2024-05-28,,2025-08-16,false,Negative hours (edge case)
E1008,Lina Park,24.00,42,6,WA,Single,0,Biweekly,200,0,0,2023-09-19,,2025-06-01,false,Stale PayDate older than 60 days
E1009,Grace Ito,27.50,60,10,CA,Married,3,Weekly,0,0,20,2022-08-08,,2025-08-16,false,High OT stress test
E1010,Alex Rivera,30.00,40,0,NY,Single,0,Monthly,1000,0,0,2021-05-03,2025-07-31,2025-08-16,false,Termination last month
E1011,Mia Lopez,16.75,20,0,CA,Single,0,Weekly,0,0,0,2025-06-18,,2025-08-16,true,FICA exempt intern
E1012,Omar Haddad,25.00,41,2,CA,Married,1,Biweekly,0,0,0,2023-02-14,,2025-08-16,false,Small OT rounding check
