date,employee_id,employee_name,pay_type,hours_worked,hourly_rate,salary_monthly,tips_reported,overtime_hours,bonus,deductions_other,pay_period_start,pay_period_end,tax_status_federal,tax_status_state,allowances,department,notes
2024-01-05,E101,Alex Rivera,hourly,38,18.50,,0,2,0,0,2023-12-30,2024-01-05,S,CA,1,Operations,Regular week
2024-01-12,E101,Alex Rivera,hourly,40,18.50,,0,0,0,0,2024-01-06,2024-01-12,S,CA,1,Operations,Full hours
2024-01-19,E101,Alex Rivera,hourly,36,18.50,,0,0,0,0,2024-01-13,2024-01-19,S,CA,1,Operations,Left early one day
2024-01-26,E101,Alex Rivera,hourly,42,18.50,,0,4,0,0,2024-01-20,2024-01-26,S,CA,1,Operations,Overtime
2024-02-02,E101,Alex Rivera,hourly,40,18.50,,0,0,0,0,2024-01-27,2024-02-02,S,CA,1,Operations,Regular
2024-02-09,E101,Alex Rivera,hourly,39,18.50,,0,1,0,0,2024-02-03,2024-02-09,S,CA,1,Operations,Small OT
2024-02-16,E101,Alex Rivera,hourly,40,18.50,,0,0,0,0,2024-02-10,2024-02-16,S,CA,1,Operations,Regular
2024-02-23,E101,Alex Rivera,hourly,37,18.50,,0,0,0,0,2024-02-17,2024-02-23,S,CA,1,Operations,Short week
2024-03-01,E101,Alex Rivera,hourly,41,18.50,,0,1,100,0,2024-02-24,2024-03-01,S,CA,1,Operations,Spot bonus
2024-03-08,E101,Alex Rivera,hourly,40,18.50,,0,0,0,0,2024-03-02,2024-03-08,S,CA,1,Operations,Regular
2024-01-05,E102,Priya Shah,tipped-hourly,32,12.00,,85,0,0,0,2023-12-30,2024-01-05,M,CA,0,Service,Winter slowdown
2024-01-12,E102,Priya Shah,tipped-hourly,35,12.00,,120,0,0,0,2024-01-06,2024-01-12,M,CA,0,Service,Weekend rush
2024-01-19,E102,Priya Shah,tipped-hourly,30,12.00,,95,0,0,0,2024-01-13,2024-01-19,M,CA,0,Service,Short hours
2024-01-26,E102,Priya Shah,tipped-hourly,38,12.00,,140,1,0,0,2024-01-20,2024-01-26,M,CA,0,Service,Overtime + tips
2024-02-02,E102,Priya Shah,tipped-hourly,36,12.00,,110,0,0,0,2024-01-27,2024-02-02,M,CA,0,Service,Steady
2024-02-09,E102,Priya Shah,tipped-hourly,34,12.00,,88,0,0,0,2024-02-03,2024-02-09,M,CA,0,Service,Weekday shift
2024-02-16,E102,Priya Shah,tipped-hourly,39,12.00,,132,1,0,0,2024-02-10,2024-02-16,M,CA,0,Service,Busy week
2024-02-23,E102,Priya Shah,tipped-hourly,33,12.00,,76,0,0,0,2024-02-17,2024-02-23,M,CA,0,Service,Rainy days
2024-03-01,E102,Priya Shah,tipped-hourly,37,12.00,,125,0,0,0,2024-02-24,2024-03-01,M,CA,0,Service,Regular
2024-03-08,E102,Priya Shah,tipped-hourly,35,12.00,,118,0,0,0,2024-03-02,2024-03-08,M,CA,0,Service,Steady
